researcher,follows,follows_display_name
karpathy,moxie,Moxie Marlinspike
karpathy,Suuraj,Suraj Srinivas
karpathy,SamuelAlbanie,Samuel Albanie 
karpathy,nidmarti,Aditya Nidmarti
karpathy,agarwl_,Rishabh Agarwal
karpathy,gaunernst,Thien Tran
karpathy,askalphaxiv,alphaXiv
karpathy,jacobaustin132,Jacob Austin
karpathy,IvanVendrov,ivan
karpathy,arlanr,Arlan
karpathy,snwy_me,snwy
karpathy,Jonathan_Blow,Jonathan Blow
karpathy,keithmadams,Keith Adams // Pebblebed
karpathy,Lewis_Bollard,Lewis Bollard
karpathy,ChangJonathanC,Jonathan Chang
karpathy,JingyuanLiu123,JingyuanLiu
karpathy,jxbz,Jeremy Bernstein
karpathy,LakerNewhouse,Laker Newhouse
karpathy,dhh,DHH
karpathy,DecartAI,Decart
karpathy,willdepue,will depue
kushalc,paulg,Paul Graham
kushalc,levie,Aaron Levie
kushalc,jheitzeb,Joe Heitzeberg
kushalc,galenward,Galen Ward
kushalc,calbucci,Marcelo Calbucci
kushalc,patrickc,Patrick Collison
kushalc,melindagates,Melinda French Gates
kushalc,benparr,Ben Parr
kushalc,om,OM
kushalc,m2jr,"Mike Maples, Jr"
kushalc,chrismichel,Christopher Michel
kushalc,auren,Auren Hoffman
kushalc,bcherny,Boris Cherny
kushalc,ziv_ravid,Ravid Shwartz Ziv
kushalc,_albertgu,Albert Gu
kushalc,insane_analyst,Irrational Analysis
kushalc,alz_zyd_,alz
kushalc,McaleerStephen,Stephen McAleer
kushalc,antigravity,Google Antigravity
kushalc,JensenHuangcon,Jensen Huang
kushalc,maxhodak_,Max Hodak
kushalc,steipete,Peter Steinberger
kushalc,NotebookLM,NotebookLM
kushalc,jaseweston,Jason Weston
kushalc,dwarkesh_sp,Dwarkesh Patel
kushalc,GoogleResearch,Google Research
kushalc,inkynumbers,Ross Girshick
kushalc,andrewgwils,Andrew Gordon Wilson
kushalc,pmddomingos,Pedro Domingos
kushalc,PTXofficial,Pentatonix
kushalc,BrianRoemmele,Brian Roemmele
kushalc,jasondeanlee,Jason Lee
kushalc,giffmana,Lucas Beyer (bl16)
kushalc,dkhos,dara khosrowshahi
kushalc,erikyw26,Erik Wang
kushalc,askalphaxiv,alphaXiv
kushalc,__nmca__,Nat McAleese
kushalc,xamat,Xavier (Xavi) Amatriain
ilyasut,ssi,SSI Inc.
ilyasut,usa_dachshund,Dachshund Community(USA)
ilyasut,OpenAI,OpenAI
ilyasut,stanfordnlp,Stanford NLP Group
ilyasut,quocleix,Quoc Le
ilyasut,chrmanning,Christopher Manning
TrentonBricken,hardmaru,hardmaru
TrentonBricken,RichardMCNgo,Richard Ngo
TrentonBricken,_akhaliq,AK
TrentonBricken,ESYudkowsky,Eliezer Yudkowsky 
TrentonBricken,ArtirKel,José Luis Ricón Fernández de la Puente
TrentonBricken,SchmidhuberAI,Jürgen Schmidhuber
TrentonBricken,NeelNanda5,Neel Nanda
TrentonBricken,KelseyTuoc,Kelsey Piper
TrentonBricken,arankomatsuzaki,Aran Komatsuzaki
TrentonBricken,Aella_Girl,Aella
TrentonBricken,AnthropicAI,Anthropic
TrentonBricken,idavidrein,david rein
TrentonBricken,GoogleDeepMind,Google DeepMind
TrentonBricken,naturecomputes,Sophia Sanborn @ NeurIPS
TrentonBricken,DrJimFan,Jim Fan
TrentonBricken,alexeyguzey,Alexey Guzey
TrentonBricken,KevinKaichuang,Kevin K. Yang 楊凱筌
TrentonBricken,patrickmineault,Patrick Mineault
TrentonBricken,janleike,Jan Leike
TrentonBricken,jacobandreas,Jacob Andreas
TrentonBricken,chrmanning,Christopher Manning
TrentonBricken,bearablylight,Melissa Du
TrentonBricken,seb_ruder,Sebastian Ruder
TrentonBricken,myk_jain,Mayank Jain
TrentonBricken,SemiAnalysis_,SemiAnalysis
TrentonBricken,__nmca__,Nat McAleese
TrentonBricken,maxwellfarrens,Max Farrens
TrentonBricken,Jonas_Vollmer,Jonas Vollmer
TrentonBricken,neuronpedia,neuronpedia
TrentonBricken,argvee,Heather Adkins - Ꜻ - Spes consilium non est
TrentonBricken,kyliu99,Ken Liu
TrentonBricken,gaia_molinaro,Gaia Molinaro 
TrentonBricken,leah_pierson,Leah Pierson
TrentonBricken,bronzeagemantis,Bronze Age Pervert
TrentonBricken,EmilybyNight,Emily
TrentonBricken,MarkerPretzel,Marker_Pretzel
TrentonBricken,claudeai,Claude
TrentonBricken,ericsson_axel,Axel Ericsson
TrentonBricken,Willob,will o’brien
TrentonBricken,jhanatech,Jhourney
NoamShazeer,foamshazeer,foam shazeer
NoamShazeer,typedfemale,typedfemale
NoamShazeer,nearcyan,near
NoamShazeer,eladgil,Elad Gil
NoamShazeer,dan_defr,Daniel De Freitas
NoamShazeer,sam_shleifer,Sam Shleifer
NoamShazeer,myleott,Myle Ott
NoamShazeer,IrwanBello,Irwan Bello
NoamShazeer,vinaysrao,Vinay S Rao
NoamShazeer,ThoppilanRomal,Romal Thoppilan
NoamShazeer,character_ai,Character.AI
NoamShazeer,ericjang11,Eric Jang
NoamShazeer,elonmusk,Elon Musk
NoamShazeer,chelseabfinn,Chelsea Finn
NoamShazeer,zoink,Dylan Field
NoamShazeer,chrmanning,Christopher Manning
jkcarlsmith,ESYudkowsky,Eliezer Yudkowsky 
jkcarlsmith,RichardMCNgo,Richard Ngo
jkcarlsmith,NathanpmYoung,Nathan 
jkcarlsmith,StefanFSchubert,Stefan Schubert
jkcarlsmith,peterwildeford,Peter Wildeford
jkcarlsmith,mealreplacer,Julian
jkcarlsmith,moskov,Dustin Moskovitz
jkcarlsmith,FreshMangoLassi,Habiba 
jkcarlsmith,robbensinger,Rob Bensinger 
jkcarlsmith,Aella_Girl,Aella
jkcarlsmith,KelseyTuoc,Kelsey Piper
jkcarlsmith,AmandaAskell,Amanda Askell
